企業情報_1_名前,企業情報_2_サイト,企業情報_3_求人サイト企業情報,連絡先_1_住所,連絡先_2,連絡先_3,連絡先_4
株式会社エスプールヒューマンソリューションズ,https://www.spool.co.jp/service/shs/,https://employment.en-japan.com/desc_1039656/?PK=594DFA&arearoute=1,ご応募に関するお問い合わせは、（株）エスプールが受け付けます。//■（株）エスプール本社／東京都千代田区外神田1-18-13　秋葉原ダイビル6階,高橋,03-6859-6551,saiyou@spool.co.jp
株式会社ダイテック,https://www.daitec.co.jp/,https://employment.en-japan.com/desc_1039849/?PK=594DFA&arearoute=1,◆東京事業所/〒140-0013　東京都品川区南大井6丁目16番19号　大森MHビル,採用担当（井上）,03-5762-8660,
株式会社リクルートゼクシィなび,http://www.recruit-zexy-navi.jp/,https://employment.en-japan.com/desc_1039914/?PK=594DFA&arearoute=1,〒104‐8227/東京都中央区銀座7-3-5　ヒューリック銀座ビル2F,採用担当,03-6835-6660(平日／10：00～19：00),
株式会社ウェルオフ,http://www.welloff.co.jp/,https://employment.en-japan.com/desc_1013006/?PK=594DFA&arearoute=1,【本社】/〒336-0024/埼玉県さいたま市南区根岸1-3-9　ツネビル1F,採用担当,050-6861-5201,
ラフィネグループ,http://www.bodywork.co.jp/,https://employment.en-japan.com/desc_1036230/?PK=594DFA&arearoute=1,今回のラフィネグループの合同募集の応募受付は、株式会社ボディワークが行ないます。//【本社】/〒107-0052/東京都港区赤坂1-1-14　野村不動産溜池ビル1F,ラフィネグループ 応募受付センター,bw-1by2@bodywork.co.jp,
株式会社クリエイトエス・ディー,https://www.create-sd.co.jp/,https://employment.en-japan.com/desc_1036280/?PK=594DFA&arearoute=1,■本社/〒225-0014/神奈川県横浜市青葉区荏田西2-3-2,採用担当,045-914-8163,
社会福祉法人三養福祉会,http://sanyoufukushikai.com/,https://employment.en-japan.com/desc_1036548/?PK=594DFA&arearoute=1,特別養護老人ホーム 橿原の郷／〒634-0847　奈良県橿原市飯高町7-1,採用担当,0744-21-1111,
ビックエル株式会社,http://www.vicl.co.jp,https://employment.en-japan.com/desc_1036641/?PK=594DFA&arearoute=1,■溝の口教室/〒213-0002　川崎市高津区二子6-14-10　YTTビル３階,採用担当,044-819-8021,
合同会社大福,,https://employment.en-japan.com/desc_1036889/?PK=594DFA&arearoute=1,北海道札幌市南区南36条西10丁目1-25,代表取締役社長　三井,011-206-1568,
社会福祉法人北海道光生舎,http://www.koseisha.or.jp/,https://employment.en-japan.com/desc_1037031/?PK=594DFA&arearoute=1,特別養護老人ホーム「ゆいま～る・もみじ台」/〒004-0012/札幌市厚別区もみじ台南3丁目4-1,採用担当,011-899-1600,
カズ株式会社,https://www.viorde.co/,https://employment.en-japan.com/desc_1037448/?PK=594DFA&arearoute=1,【本社】/〒107-0062/東京都港区南青山4-3-23,採用担当,03-6447-4793,
株式会社日能研九州,http://www.nichinoken.co.jp/,https://employment.en-japan.com/desc_1037877/?PK=594DFA&arearoute=1,【日能研九州本部】/〒810-0022/福岡市中央区薬院3-16-31,江上　直,092-526-8000,
株式会社博愛社,http://www.hakuaisha.jp/,https://employment.en-japan.com/desc_1039141/?PK=F90622&arearoute=1,〒330-0063/さいたま市浦和区高砂1-2-1 エイペックスタワー浦和210,採用担当,048-822-1879,
株式会社小野自動車教習所,https://www.ono-ms.co.jp/,https://employment.en-japan.com/desc_1036467/?PK=F90622&arearoute=1,〒675-1378 /兵庫県小野市王子町806,採用担当,0794-62-4875,
リアルカンパニー株式会社,http://realcompany.jp/,https://employment.en-japan.com/desc_1038538/?PK=F90622&arearoute=1,東京都品川区中延五丁目5番6号　第2セントラルビル1階,採用担当,03-6240-9550,
株式会社ネットシスジャパン,https://www.netsysjapan.co.jp/,https://employment.en-japan.com/desc_1038593/?PK=F90622&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　ネットシスジャパン採用事務局,sss-info@en-japan.com,
AI株式会社 アプリ児童デイサービス沼袋,http://apurinumabukuro.com,https://employment.en-japan.com/desc_1039102/?PK=F90622&arearoute=1,■アプリ児童デイサービス沼袋/〒165-0025/東京都中野区沼袋2-28-34 ペンションハウスコスモス21 1F,採用担当,03-5942-9451,
株式会社ウィルエドゥケイトスクール,http://www.will-es.com/,https://employment.en-japan.com/desc_1039330/?PK=F90622&arearoute=1,■愛知運営本部／愛知県名古屋市千種区内山3-10-12 今池堂ビル 6階北,採用担当,052-744-1116,
株式会社エクシオジャパン,http://www.exeo-japan.co.jp/,https://employment.en-japan.com/desc_1039242/?PK=F90622&arearoute=1,【横浜本社】〒220-0004　神奈川県横浜市西区北幸2-4-3 GM21ビル3F,採用担当,050-5531-9451,
株式会社インター・ベル,https://www.interbelle.co.jp/,https://employment.en-japan.com/desc_1037805/?PK=F90622&arearoute=1,【東京本社】〒105-0004/東京都港区新橋4-1-1　新虎通りCORE,採用担当,03-4565-9612(直通),career_ib@interbelle.co.jp
株式会社ミュゼプラチナム,https://musee-pla.com/,https://employment.en-japan.com/desc_1027077/?PK=F90622&arearoute=1,【本社】/〒151-0053/東京都渋谷区代々木3-37-5,ミュゼプラチナム 人事部 採用課,0120-767-303,
株式会社ジャステック,https://www.n-justec.co.jp,https://employment.en-japan.com/desc_1034352/?PK=F90622&arearoute=1,【本社】/〒460-0008/愛知県名古屋市中区栄2-9-5 アーク栄東海ビル4F,採用担当,052-221-6851,
DSP株式会社,http://www.dsp-net.co.jp/,https://employment.en-japan.com/desc_1037411/?PK=F90622&arearoute=1,読み取り不可避エラー,,,
医療法人社団有洸会,https://sanban.net/,https://employment.en-japan.com/desc_1037443/?PK=F90622&arearoute=1,〒102-0082/東京都千代田区一番町22-3　アデックス一番町1階,採用担当,okamoto@sanban.net,
ウエルシア薬局株式会社,http://www.welcia-yakkyoku.co.jp/,https://employment.en-japan.com/desc_1038381/?PK=F90622&arearoute=1,【本社】〒101-0021/東京都千代田区外神田2丁目2番15号　ウエルシアビル,採用担当,03-5209-5690,
株式会社Red Bear,http://redbear.tokyo/,https://employment.en-japan.com/desc_1039035/?PK=F90622&arearoute=1,〒125-0042/東京都葛飾区金町 2-2-19,03-3826-4774,,
けあする合同会社,https://care-suru.jp,https://employment.en-japan.com/desc_1034781/?PK=F90622&arearoute=1,【本社】/〒564-0027/大阪府吹田市朝日町23-14 blancビル1F,採用担当,06-6317-5052,
株式会社共生ケアサービス,https://kcere-s.com/,https://employment.en-japan.com/desc_1036309/?PK=F90622&arearoute=1,■本社/〒144-0052/東京都大田区蒲田3丁目23番7号 松本ビル2階,採用担当,03-3738-2945,
株式会社レインボーモータースクール,https://www.rms.co.jp/,https://employment.en-japan.com/desc_1037456/?PK=F90622&arearoute=1,〒351-0111/埼玉県和光市下新倉5-27-1,総務課　武藤／吉村／菅原／菅沼,048-461-1105,
医療法人社団七海会,https://www.aozoracl.com/,https://employment.en-japan.com/desc_1037691/?PK=F90622&arearoute=1,〒105-0004/東京都港区新橋2丁目16-1 ニュー新橋ビル3階,採用担当,03-3506-8880,
株式会社Z会エデュース,https://www.zkai.co.jp/juku/,https://employment.en-japan.com/desc_1037932/?PK=F90622&arearoute=1,読み取り不可避エラー,,,
株式会社明光苑（箱根花紋）,https://www.hakone-kamon.jp/,https://employment.en-japan.com/desc_1038103/?PK=F90622&arearoute=1,箱根 花紋／神奈川県足柄下郡箱根町湯本435,採用担当,0460-85-5050,
株式会社グルメサービス,http://www.gourmet-service.jp,https://employment.en-japan.com/desc_1038117/?PK=F90622&arearoute=1,【神戸住吉店】/〒658-0051 兵庫県神戸市東灘区住吉本町2-20-31,採用担当,078-842-8585,
トーテックアメニティ株式会社,https://www.totec.jp/index.html,https://employment.en-japan.com/desc_1038154/?PK=F90622&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
学校法人三幸学園,https://www.sanko.ac.jp/,https://employment.en-japan.com/desc_1038274/?PK=F90622&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社仙郷楼,http://www.senkyoro.co.jp/,https://employment.en-japan.com/desc_1038334/?PK=F90622&arearoute=1,〒250-0631 神奈川県足柄下郡箱根町仙石原1284,採用担当,0460-84-8521,
タニミズ企画株式会社,https://tanimizu-hd.co.jp/,https://employment.en-japan.com/desc_1038621/?PK=F90622&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社ハイメディック,https://www.himedic.co.jp/,https://employment.en-japan.com/desc_1038738/?PK=F90622&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
日本交通株式会社,http://www.nihon-kotsu.co.jp/,https://employment.en-japan.com/desc_1003883/?PK=F90622&arearoute=1,【本社】/〒102-0094/東京都千代田区紀尾井町3-12　紀尾井町ビル,採用担当,0120-2151-95,
株式会社トライアングル,https://www.tryangle-cr.co.jp/,https://employment.en-japan.com/desc_1033007/?PK=F90622&arearoute=1,〒160-0023/東京都新宿区西新宿3-2-4 新和ビルディング5階,採用担当,0120-565-314,
医療法人社団創志会,https://aoki-tsuyoshi.com/,https://employment.en-japan.com/desc_1035311/?PK=F90622&arearoute=1,【本社】〒104-0061/東京都中央区銀座2-6-9 Ginza269ビル 9F,採用担当,03-6435-6189,tcb.media@medical-frontier.com
株式会社LAVA International,https://lava-intl.co.jp,https://employment.en-japan.com/desc_1035759/?PK=F90622&arearoute=1,【青山オフィス（本社）】/〒107-0061　東京都港区北青山1-2-3 青山ビル9階,株式会社LAVA International　採用担当,0570-045-314 (平日9:30～20:00、祝日9:30～18:00),
セントケア千葉株式会社,https://chiba.saint-care.com/,https://employment.en-japan.com/desc_1036719/?PK=F90622&arearoute=1,【セントケア千葉株式会社】/〒260-0028/千葉県千葉市中央区新町1-17 JPR千葉ビル12F,採用担当,0120-938-007,
株式会社ユナイテッド・シー,http://www.united-c.net/index.html,https://employment.en-japan.com/desc_1037729/?PK=F90622&arearoute=1,【中津本店】/大阪市北区中津1丁目9-5 ユナイテッドビルディング,採用担当,06-4802-6510,
株式会社修優舘,http://syuyukan.com/,https://employment.en-japan.com/desc_1038003/?PK=F90622&arearoute=1,【本社】/〒553-0005/大阪府大阪市福島区野田3-2-19,採用担当,06-6467-8288,
株式会社灰吹屋薬局,http://www.haifukiya.com,https://employment.en-japan.com/desc_1038589/?PK=F90622&arearoute=1,本社／神奈川県川崎市高津区溝口3-14-19,採用担当,044-833-3451,
社会福祉法人福都二十一,http://fukuto21.or.jp,https://employment.en-japan.com/desc_1037718/?PK=F90622&arearoute=1,埼玉県川越市大字府川243-2,施設長,049-227-5088,
一般財団法人魚沼市医療公社 魚沼市立小出病院,http://www.uonuma-medical.jp/,https://employment.en-japan.com/desc_1035163/?PK=F90622&arearoute=1,新潟県魚沼市日渡新田34,採用担当,025-793-7348,
社会福祉法人真昌会,http://shinshokai.or.jp/,https://employment.en-japan.com/desc_1036371/?PK=F90622&arearoute=1,社会福祉法人真昌会│〒569-0002 大阪府高槻市東上牧2-37-8,採用担当,072-668-2622,
フェローズ株式会社,,https://employment.en-japan.com/desc_1036515/?PK=F90622&arearoute=1,【本社】/〒279-0024/千葉県浦安市港3番地,カーブス事業部 採用担当／小川・岡田・福来,047-355-7213,
株式会社トランジットジェネラルオフィス,https://www.transit-web.com/,https://employment.en-japan.com/desc_1036624/?PK=F90622&arearoute=1,本社／東京都渋谷区恵比寿4-20-4 恵比寿ガーデンプレイス グラススクエアB1階,採用担当,050-1743-1601(平日10：00～18：00),
医療法人社団元気会 横浜病院,http://genkikaiyokohama.jp/,https://employment.en-japan.com/desc_1037704/?PK=F90622&arearoute=1,〒226-0013　神奈川県横浜市緑区寺山町729/※LINEからのお問い合わせも受付中！ホーム画面より「元気会」で検索、または「ID検索：@fhj2698g」からご登録ください。,採用担当,045-933-1011,
社会福祉法人物集女福祉会,https://mozumefukushikai.kyoto/,https://employment.en-japan.com/desc_1037724/?PK=F90622&arearoute=1,本部オフィス／〒617-0001/京都府向日市物集女町池ノ裏18-1,採用担当者,075-921-0032,
株式会社ライフドリーム,http://www.lifedream.jp/about/,https://employment.en-japan.com/desc_1034126/?PK=F90622&arearoute=1,＜本店＞/〒003-0822/北海道札幌市白石区菊水元町2条1-8-36,採用担当,011-872-6116,
株式会社大興産業,http://bekutoru-group.com/,https://employment.en-japan.com/desc_1034274/?PK=F90622&arearoute=1,〒174‐0071/東京都板橋区常盤台2-16-13,採用担当,03-5917-4041,
株式会社山梨子ども成長支援計画,http://stepup-houkago.com/,https://employment.en-japan.com/desc_1036077/?PK=F90622&arearoute=1,■甲府昭和校/〒 409-3866 山梨県中巨摩郡昭和町西条3812-2 2階,採用担当,055-269-6668,
株式会社アビセス,http://www.karadafactory.com/,https://employment.en-japan.com/desc_1036107/?PK=F90622&arearoute=1,■日本橋馬喰町店/東京都中央区東日本橋3-3-10 1F,採用担当,careers@karadafactory.com,
株式会社メデア,https://medea.co.jp/,https://employment.en-japan.com/desc_1036896/?PK=F90622&arearoute=1,■本社/〒337-0003/埼玉県さいたま市見沼区深作3-3-2,採用担当,048-878-8724,
株式会社メデア,https://medea.co.jp/,https://employment.en-japan.com/desc_1036897/?PK=F90622&arearoute=1,【本社】/〒337-0003 /埼玉県さいたま市見沼区深作3-3-2,採用担当,048-878-8724,
株式会社セキ薬品,https://www.sekiyakuhin.co.jp/,https://employment.en-japan.com/desc_1037864/?PK=F90622&arearoute=1,【本社】/〒345-0801/埼玉県南埼玉郡宮代町百間4-2-22,採用担当,0480-34-4829,
株式会社R・Resort,http://www.rresort-net.com/,https://employment.en-japan.com/desc_1036329/?PK=F90622&arearoute=1,【本社】/〒810-0001　福岡市中央区天神2-7-21　天神プライム6F,採用担当,092-732-0229,
株式会社維新ネット,https://i-shin.net/,https://employment.en-japan.com/desc_1034626/?PK=45A646&arearoute=1,〒173-0024/東京都練馬区南大泉5-2-10/大泉クラフトハウス2F,採用担当者,03-5926-3465(採用担当),
株式会社エメラルドの郷,https://emerald-sato.jp/,https://employment.en-japan.com/desc_1036049/?PK=45A646&arearoute=1,■ライフパートナー安行領根岸／埼玉県川口市安行領根岸500-1/下記フリーダイヤル、または048-423-6425//■ライフパートナー川口／埼玉県川口市安行原62-3/下記フリーダイヤル、または0048-291-8233//■本社／大阪府大阪市中央区東平2-1-6 ネクストライフビル/下記フリーダイヤル、または06-6763-2113,採用担当,0120-326-165,
株式会社K-standard,,https://employment.en-japan.com/desc_1036466/?PK=45A646&arearoute=1,〒651-2144/兵庫県神戸市西区小山1-2-15,植田,078-926-0553,
株式会社ブラスト,https://www.blast32.co.jp/,https://employment.en-japan.com/desc_1037475/?PK=45A646&arearoute=1,〒110-0015 東京都台東区東上野3-18-7　SK上野ビル9F,採用担当,03-6240-1405(代),
五葉レーベン株式会社（松陰塾）,https://www.goyol.co.jp/,https://employment.en-japan.com/desc_1035913/?PK=45A646&arearoute=1,■墨田松陰塾 東あずま駅前校/東京都墨田区立花1-23 サンタウン立花5-201-2,採用担当・大橋,03-6657-0040,
ラインズ株式会社,https://www.education.jp/,https://employment.en-japan.com/desc_1036635/?PK=45A646&arearoute=1,■本社/〒169-0051　東京都新宿区西早稲田2-20-15 高田馬場アクセス4F,採用担当,03-6861-6200,
三敬株式会社,http://san-k.biz/index.html,https://employment.en-japan.com/desc_1036733/?PK=45A646&arearoute=1,【本社】/〒443-0042/愛知県蒲郡市御幸町12-3,採用担当,0533-68-6401,
五井自動車教習所（市原興業株式会社）,http://www.goikyo.net/outline/company,https://employment.en-japan.com/desc_1036987/?PK=45A646&arearoute=1,〒290-0056/千葉県市原市五井8840,採用担当　長谷部・秋本,0436-21-3366,
特定非営利活動法人Learning for All,http://learningforall.or.jp/,https://employment.en-japan.com/desc_1037502/?PK=45A646&arearoute=1,＜メインオフィス＞/〒160-0022/東京都新宿区新宿5-1-1　ローヤルマンションビル404号室,採用担当,03-5357-7131,lfa_recruit@learningforall.or.jp
エービーシーデンタルオフィス田園調布,http://www.abcdental11.com/,https://employment.en-japan.com/desc_1036475/?PK=45A646&arearoute=1,読み取り不可避エラー,,,
株式会社トゥエンティーフォーセブン,https://247group.co.jp/,https://employment.en-japan.com/desc_1034799/?PK=45A646&arearoute=1,【本社】〒105-6236/東京都港区愛宕2-5-1　愛宕グリーンヒルズMORIタワー36F,パーソナル事業本部　採用担当,03-6432-4004,
BIJOUPIKO GROUP,https://bijoupiko.co.jp,https://employment.en-japan.com/desc_1024412/?PK=45A646&arearoute=1,※今回のBIJOUPIKO GROUPの合同募集の応募受付は、株式会社G・T・B・Tが行ないます。/本社：東京都台東区上野5-25-1,採用担当,03-5846-8592,
アトランティス,,https://employment.en-japan.com/desc_1031938/?PK=45A646&arearoute=1,【仙台店ご希望の方】/〒980-0021/宮城県仙台市青葉区中央2‐8‐11/TEL：050‐6875‐4535/E-MAIL／atlantis@atlantis-d.com//【東京店ご希望の方】/〒104-0061/東京都中央区銀座1-19-3 銀座ユリカビル4F/TEL：03-6264-4919//※メールアドレスは仙台・東京共通のアドレスになります。,【仙台店】採用担当：鈴木 【東京店】採用担当：大友,atlantis@atlantis-d.com,
個個塾（株式会社WiShip）,http://www.kokojyuku.wiship.jp/,https://employment.en-japan.com/desc_1035835/?PK=45A646&arearoute=1,〒607-8162/京都市山科区椥辻草海道町12-8 HOPEビル3F,075-582-8511,,
株式会社アルファコーポレーション,http://alpha1999.jp/,https://employment.en-japan.com/desc_1036470/?PK=45A646&arearoute=1,【札幌本社】/北海道札幌市中央区南一条西2丁目5 南一条Ｋビル,採用担当,011-798-3611,
社会福祉法人ひかりの子 月島聖ルカ保育園,http://tsukishimaseiluka.wixsite.com/seilukahoikuen,https://employment.en-japan.com/desc_1022041/?PK=45A646&arearoute=1,〒104-0052/東京都中央区月島4丁目5-8,採用担当,03-3533-6231,
社会福祉法人健輪会,https://www.sincerite-kenwakai.com/,https://employment.en-japan.com/desc_1023575/?PK=45A646&arearoute=1,※応募受付窓口は、IKOIGROUPが行います。/〒570-0056/大阪府守口市寺内町2-7-3/IKOIGROUP　本部,田中,06-6993-0100,
株式会社CLOVER,http://day-clover.com/,https://employment.en-japan.com/desc_1030676/?PK=45A646&arearoute=1,【デイサービスクローバー代々木上原】/〒155-0031/東京都世田谷区北沢5-2-1,採用担当,090-4677-0427(採用担当者直通)／03-3469-3630(代々木上原),
人の森株式会社,https://hitonomoricorp.jp/,https://employment.en-japan.com/desc_1032143/?PK=45A646&arearoute=1,■本社/〒243-0422/神奈川県海老名市中新田1762,採用担当,046-233-2511,
医療法人たんぽぽ会,https://tanpopokai-group.com/,https://employment.en-japan.com/desc_1033454/?PK=45A646&arearoute=1,【医療法人たんぽぽ会　本部】/〒590-0114　大阪府堺市南区槇塚台二丁30番1号,採用担当,072-284-6400,
ヒカリコンサルティング株式会社,,https://employment.en-japan.com/desc_1034066/?PK=45A646&arearoute=1,〒135-0022 /東京都江東区三好3-3-13,03-5875-9669,,
株式会社中の坊 有馬グランドホテル,http://www.arima-gh.co.jp,https://employment.en-japan.com/desc_1034596/?PK=45A646&arearoute=1,■有馬グランドホテル/〒651-1401　兵庫県神戸市北区有馬町1304-1,松本,078-904-0437(人事庶務課直通),
新富士病院グループ,https://sfmw-g.org/index.html,https://employment.en-japan.com/desc_1034859/?PK=45A646&arearoute=1,今回の新富士病院グループの合同募集の応募受付は、新富士病院グループ本部が行ないます。/〒225-0011/神奈川県横浜市青葉区あざみ野1-4-3　三橋ビル4F,採用担当　松田,045-482-9811,
日本赤十字社近畿ブロック血液センター,https://www.bs.jrc.or.jp/kk/bbc,https://employment.en-japan.com/desc_1035065/?PK=45A646&arearoute=1,＜日本赤十字社近畿ブロック血液センター＞/〒567-0085/大阪府茨木市彩都あさぎ7-5-17,採用担当,072-643-1028,
アンダンテ株式会社,http://www.andante-inc.com,https://employment.en-japan.com/desc_1035499/?PK=45A646&arearoute=1,〒222-0033 神奈川県横浜市港北区新横浜2-6-13/新横浜ステーションビル7F A室//TEL／045-594-8945 /FAX／045-594-8946,採用担当,info@andante-inc.com,
タップスイミング株式会社,http://tapswim.co.jp/,https://employment.en-japan.com/desc_1035542/?PK=45A646&arearoute=1,【本社】/〒301-0044 茨城県龍ヶ崎市小柴5-2-5,白石,0297-66-8983,
シダーグループ,http://www.cedar-web.com/,https://employment.en-japan.com/desc_1036601/?PK=45A646&arearoute=1,シダーグループの合同募集の応募受付は、株式会社シダーが行ないます。//【株式会社シダー／本社】/福岡県北九州市小倉北区大畠1-7-19,シダーグループ　採用担当,093-513-7855もしくは080-8585-1782,
株式会社ヒューマンテック,http://www.shimura1948.co.jp/,https://employment.en-japan.com/desc_997301/?PK=45A646&arearoute=1,【本社】神奈川県川崎市川崎区浜町4-6-19,採用担当,044-344-1222,saiyou@hu-mantec.co.jp
アブコ株式会社,http://www.abco.co.jp/,https://employment.en-japan.com/desc_1021416/?PK=45A646&arearoute=1,本社／〒104-0032　東京都中央区八丁堀2-29-11　キューアス八丁堀第二ビル6階,採用担当,03-3552-1551,
株式会社ベストエデュケーションズ,,https://employment.en-japan.com/desc_1023246/?PK=45A646&arearoute=1,【本社】/〒567-0034/大阪府茨木市中穂積1-1-59-201　茨木中穂積ビル2F,採用担当,072-665-9533,
株式会社ジーニアスエデュケーショナルネットワーク,https://www.genius-recruit.com,https://employment.en-japan.com/desc_1023455/?PK=45A646&arearoute=1,■武蔵新城校／〒213-0022　神奈川県川崎市高津区千年940-2 榎本ビル1&amp;2F,小野（おの）,044-948-6334,
株式会社コムタスグループ,http://www.comtas.jp/,https://employment.en-japan.com/desc_1026507/?PK=45A646&arearoute=1,〒737-0051　広島県呉市中央1丁目6-9 センタービル呉駅前3F,採用担当,0823-21-4795,
株式会社はーとあんどわいず,https://gostudy.jp/,https://employment.en-japan.com/desc_1027705/?PK=45A646&arearoute=1,＜Goスタディ　新桜台教室＞/〒176-0002/東京都練馬区桜台2-8-4　ＭＫヒルズ1Ｆ,採用担当,03-6914-9788,
社会福祉法人ひふみ会 光福,http://www.1234.gr.jp/,https://employment.en-japan.com/desc_1030731/?PK=45A646&arearoute=1,≪障がい者支援施設『光福』≫/〒333-0833/埼玉県川口市西新井宿885-1,採用担当,048-229-1623,
ダイワロイヤル株式会社（大和ハウスグループ）,http://www.daiwaroyal.com/,https://employment.en-japan.com/desc_1030732/?PK=45A646&arearoute=1,ダイワロイネットホテル高松／香川県高松市丸亀町8-23,採用担当,087-811-7855,
誉教育パートナーズ株式会社,,https://employment.en-japan.com/desc_1032319/?PK=45A646&arearoute=1,【誉学習教室 柏校】　/〒277-0885/千葉県柏市西原1-6-26//【誉学習教室 流山平和台校】/〒270-0156/流山市西平井1-30-11,採用担当,04-7197-3903,
株式会社ライフデザイン・フローラ,https://ld-flora.co.jp/,https://employment.en-japan.com/desc_1032348/?PK=45A646&arearoute=1,【本社】/〒158-0095/東京都世田谷区瀬田2-23-11　ビスタリアハイツ101,中途採用担当,03-6411-7492,
株式会社京王ストア,https://www.keiostore.co.jp/index.html,https://employment.en-japan.com/desc_1032550/?PK=45A646&arearoute=1,本社／〒206-8522 東京都多摩市関戸1丁目7番地4,採用担当,042-337-2848,
ウォーターワンデイサービス株式会社,http://iorian-dayservice.com/,https://employment.en-japan.com/desc_1033594/?PK=45A646&arearoute=1,〒220-0023　神奈川県横浜市西区平沼1-2-24　横浜NTビル2階,採用担当,045-317-7074,
社会福祉法人ノーマライゼーション協会（みんなのいえ）,http://www.normalization.or.jp/,https://employment.en-japan.com/desc_1033950/?PK=45A646&arearoute=1,■みんなのいえ（事務所）/〒533-0031　大阪府大阪市東淀川区西淡路2-8-15 絆館1F,採用担当：新井,06-6195-5140,
株式会社東邦運輸,http://www.tohounyu.co.jp/,https://employment.en-japan.com/desc_1034122/?PK=45A646&arearoute=1,運営元：株式会社東邦運輸／東京都東久留米市幸町4-6-12,採用担当,042-474-4110,
株式会社ドリームエンタープライズ,http://pray.yume-gokochi.net/,https://employment.en-japan.com/desc_1034333/?PK=45A646&arearoute=1,【本社】/〒555-0021/大阪府大阪市西淀川区歌島1-3-7 大洋マンション201B,採用担当,06-6476-3511,
学校法人大原学園,http://www.o-hara.ac.jp/,https://employment.en-japan.com/desc_1034403/?PK=45A646&arearoute=1,【本部】/〒101-8352/東京都千代田区西神田1-2-10,採用担当,saiyo_kantou@mail.o-hara.ac.jp,
株式会社マザーズ,http://mothers-planet.com/,https://employment.en-japan.com/desc_1034410/?PK=45A646&arearoute=1,本社│〒451-0043 愛知県名古屋市西区新道1-2-5,採用担当,052-583-6111,
株式会社エクセレントケアシステム,https://excare.co.jp/,https://employment.en-japan.com/desc_1034434/?PK=45A646&arearoute=1,【京都支店】/〒600-8025/京都市下京区河原町通松原上る清水町280-1,採用担当,075-361-6511,
株式会社キッズコーポレーション,http://www.kids-21.co.jp/,https://employment.en-japan.com/desc_1034589/?PK=45A646&arearoute=1,【東京オフィス】/〒107-0052/東京都港区赤坂4-2-6住友不動産新赤坂ビル11階,採用担当,03-6206-9280,
社会福祉法人陽気会,http://youkikai.or.jp/,https://employment.en-japan.com/desc_1034645/?PK=45A646&arearoute=1,【法人本部】/〒651-1313/神戸市北区有野中町2-5-19,採用担当,078-981-7271,
医療法人入江歯科医院,https://www.irie-dc.com/,https://employment.en-japan.com/desc_1035084/?PK=45A646&arearoute=1,埼玉県さいたま市浦和区上木崎1-10-15 入江ビル2Ｆ・3Ｆ,採用担当,048-815-8881,
社会福祉法人偕恵園,http://www.kaikei-en.com/index.html,https://employment.en-japan.com/desc_1035146/?PK=45A646&arearoute=1,【特別養護老人ホーム　椿寿】/〒241-0001 神奈川県横浜市旭区上白根町792-4,総務課採用係,045-958-1088,
医療法人NEW WAVES 堤レディースクリニック,https://tsutsumi-lc.com/,https://employment.en-japan.com/desc_1024024/?PK=FF3BE0&arearoute=1,高槻市城北町2-4-5　Hisako.BLD 2F,採用担当,072-662-0223,
有限会社ハイライフサポート,http://www.hilife-support.com/,https://employment.en-japan.com/desc_1028323/?PK=FF3BE0&arearoute=1,〒214-0014/神奈川県川崎市多摩区登戸3528-1-305,採用担当　佐藤,044-932-8277,
医療法人社団世航会,http://www.setaden.com/,https://employment.en-japan.com/desc_1030937/?PK=FF3BE0&arearoute=1,〒101-0021/東京都千代田区外神田1-9-1,応募受付担当（野口）,070-6524-4618,contact@setaden.com
株式会社西日本介護サービス,https://www.with-g.com/,https://employment.en-japan.com/desc_1032164/?PK=FF3BE0&arearoute=1,■本社/〒810-0041　福岡県福岡市中央区大名2-4-30,採用担当,092-712-0306,
アサヒサンクリーン株式会社,http://www.asahi-sun-clean.co.jp/,https://employment.en-japan.com/desc_1033475/?PK=FF3BE0&arearoute=1,■東京支店｜〒114-0034/東京都北区上十条1-2-15,採用担当,03-3909-1231,
大学受験テラス,https://juken-terrace.com/,https://employment.en-japan.com/desc_1034055/?PK=FF3BE0&arearoute=1,【石橋校本部】〒563-0032/大阪府池田市石橋1-8-6　UTビル3F,総務部　大川,072-762-1550,
小田原レディスクリニック,https://odwlc.jp/,https://employment.en-japan.com/desc_1035081/?PK=FF3BE0&arearoute=1,神奈川県小田原市城山2-1-5,採用担当,0465-35-1103／080-9546-2223(直通),
株式会社鈴木薬局,https://www.suzukiyakkyoku.co.jp/,https://employment.en-japan.com/desc_1033033/?PK=FF3BE0&arearoute=1,■本社/〒362-0036 埼玉県上尾市宮本町9-8 村田ビル3階,採用担当,048-773-4553,
